Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
1,1,0,0,0,3574,3988,137,228,0,0,0
1,1,0,0,0,6250,0,128,360,1,1,1
1,1,2,1,0,2192,1742,45,360,1,1,1
1,1,0,1,0,6033,0,160,360,1,2,0
1,1,0,0,0,13650,0,120,360,1,2,1
1,1,3,0,0,7740,0,128,180,1,2,1
1,1,0,0,0,5667,2667,180,360,1,0,1
1,1,0,0,0,3708,2569,173,360,1,2,0
1,0,0,0,0,4133,0,122,360,1,1,1
1,1,0,1,0,2167,2400,115,360,1,2,1
1,1,0,0,0,5669,2048,177,381,1,0,0
0,0,1,0,0,3812,0,112,360,1,0,1
1,1,0,1,0,4887,0,133,360,1,0,0
0,0,0,0,0,5484,0,112,382,0,0,0
1,1,0,0,0,2473,1843,159,360,1,0,0
1,1,0,0,0,2383,3334,172,360,1,1,1
1,1,1,0,0,14583,0,185,180,1,0,1
1,1,0,0,0,3563,3238,155,360,0,0,0
1,0,0,0,0,6277,0,118,360,0,0,0
0,0,0,0,0,5000,0,87,360,0,1,0
0,0,0,0,0,4812,2515,139,446,1,0,0
1,1,0,0,0,3941,2336,134,360,1,1,1
1,0,0,0,0,5849,0,120,360,1,2,1
1,1,0,0,0,4902,0,124,360,0,0,0
0,0,0,0,0,4547,0,115,360,1,1,1
1,1,0,0,0,3775,0,110,360,1,1,1
1,0,0,0,0,3583,0,96,360,1,2,0
0,0,1,0,0,3426,0,137,360,1,1,0
1,0,0,1,0,2346,1600,132,360,1,1,1
1,1,0,0,0,2799,2253,122,360,1,1,1
0,1,2,0,0,1378,1881,167,360,1,2,0
1,1,0,0,0,4860,830,125,360,1,1,1
1,1,0,0,0,2297,1522,104,360,1,2,1
1,0,0,0,0,9508,0,187,360,1,0,1
0,1,0,0,0,3167,2283,154,360,1,1,1
1,0,0,0,1,6400,0,200,360,1,0,1
0,1,0,0,0,2423,505,130,360,1,1,1
1,0,0,0,1,6822,0,141,360,1,0,1
1,1,0,1,0,2600,1911,116,360,0,1,0
1,1,0,1,0,3000,1666,100,480,0,2,0
0,0,0,0,1,4583,0,133,360,0,1,0
1,1,1,0,0,33846,0,260,360,1,1,0
1,0,0,0,0,12876,0,405,360,1,1,1
1,1,1,0,0,7250,1667,110,360,0,2,0
1,0,0,0,0,3165,2307,132,218,0,1,0
1,1,1,0,0,5468,1032,26,360,1,1,1
0,1,2,0,0,2031,1632,113,480,1,1,1
1,1,0,0,0,2500,3796,120,360,1,2,1
1,0,0,0,0,2935,0,98,360,1,1,1
1,1,2,0,0,9703,0,112,360,1,2,1
1,0,0,0,0,1764,0,54,360,1,0,0
1,1,2,0,0,3426,2535,125,360,0,0,0
1,1,2,0,1,3316,3500,88,360,1,2,1
1,1,0,0,0,2130,6666,70,180,1,1,0
1,0,0,0,1,6689,4491,182,223,0,1,0
1,0,0,0,0,5124,0,124,360,0,0,0
1,0,0,0,0,20574,0,196,360,1,0,0
0,0,0,0,0,3180,0,71,360,0,2,0
0,0,0,0,0,2390,0,52,360,1,0,0
1,0,0,0,0,3069,0,71,480,1,2,0
0,0,0,0,0,10283,2872,189,260,0,1,0
1,1,2,0,0,3276,484,135,360,1,1,1
1,1,0,0,1,674,5296,168,360,1,0,1
1,0,0,0,0,2980,2083,120,360,1,0,1
1,0,0,0,0,2238,0,64,476,0,0,0
1,0,0,0,0,3699,0,101,439,1,2,0
0,0,0,0,0,8333,0,280,360,1,1,1
1,1,1,0,1,16667,2250,86,360,1,1,1
1,0,2,0,0,3617,0,107,360,1,1,1
0,1,0,0,0,1621,1582,130,360,0,2,0
1,0,2,0,0,6422,0,142,360,0,0,0
1,0,0,0,0,1916,5063,67,360,1,0,0
1,1,1,0,0,6400,7250,180,360,0,2,0
1,1,0,0,0,3539,1376,55,360,1,0,0
1,1,2,1,0,3365,1917,112,360,0,0,0
1,1,3,1,0,3850,983,100,360,1,1,1
1,0,0,0,0,2179,0,65,304,0,0,0
1,1,2,0,0,1299,1086,17,120,1,2,1
0,0,2,0,0,3750,2083,120,360,1,1,1
1,0,0,0,0,1836,33837,90,360,1,2,0
1,1,3,0,0,3430,1250,128,360,0,1,0
1,1,3,0,0,4281,0,100,360,1,2,1
1,0,2,0,0,4354,0,136,360,1,0,1
0,0,0,0,0,2507,0,56,360,1,0,1
1,1,0,0,0,3333,2500,128,360,1,1,1
1,0,2,0,0,3547,0,80,360,0,0,0
1,1,0,0,0,2499,2458,160,360,1,1,1
1,0,0,0,0,3858,0,76,360,1,1,1
1,1,0,1,0,1863,1041,98,360,1,1,1
1,1,2,0,1,7948,7166,480,360,1,0,1
1,0,0,1,0,6216,0,133,360,1,0,0
0,1,0,0,0,2330,4486,100,360,1,1,1
0,0,0,0,0,2995,0,60,360,1,2,1
1,1,0,0,0,150,1800,135,360,1,0,0
1,0,0,0,0,3750,0,113,480,1,2,0
0,0,2,0,0,3516,0,91,160,1,0,0
1,1,2,0,0,2301,985,78,180,1,2,1
1,1,1,0,0,3875,0,67,360,1,2,0
1,1,1,0,0,5955,5625,315,360,1,2,1
1,0,1,0,0,6370,878,178,360,0,0,0
0,0,0,0,0,3166,2985,132,360,1,0,1
1,1,0,0,0,2836,309,82,360,0,0,0
1,1,1,0,0,6041,0,210,291,0,0,0
1,1,2,0,0,5819,5000,120,360,1,0,1
1,0,2,0,0,3564,0,92,360,0,0,0
0,0,0,0,0,4155,2435,140,360,0,2,0
1,1,0,0,0,5829,0,138,360,1,0,1
0,0,0,0,0,2137,8980,137,360,0,1,1
1,1,0,1,1,4735,0,138,360,1,2,0
1,0,0,0,1,7167,0,128,360,1,2,1
0,0,0,0,0,2378,0,9,360,1,2,0
0,0,1,0,0,3535,0,78,360,0,0,0
1,1,0,0,0,8016,0,130,326,0,1,0
1,1,2,0,0,3398,1252,127,360,0,1,0
1,1,0,1,0,2333,1516,95,360,1,2,1
1,1,2,1,0,3357,2859,144,360,1,2,1
1,1,2,0,0,3859,0,96,360,1,1,1
1,1,0,1,0,2894,2792,155,360,1,0,1
0,0,0,0,0,2378,0,38,360,1,0,0
1,1,0,1,0,7660,0,104,360,0,2,0
0,0,0,0,0,4166,0,116,360,0,1,0
1,1,0,0,0,7804,0,116,360,0,1,0
1,0,2,0,0,6379,0,143,360,0,0,0
1,0,0,0,0,6000,0,141,360,1,2,1
1,1,3,0,0,4086,7951,301,360,0,1,0
0,0,1,1,0,5191,0,132,360,1,1,1
1,0,0,1,0,2755,0,65,300,1,0,0
0,0,1,0,0,4723,0,81,360,1,1,0
0,1,0,0,0,4180,2306,182,360,1,1,1
1,1,0,0,0,4750,2333,130,360,1,2,1
1,0,0,0,0,4166,0,98,360,0,1,0
1,0,0,0,0,3158,3053,89,360,1,0,1
1,1,1,0,0,4166,3369,201,360,1,2,0
0,0,0,0,0,4583,0,116,360,0,0,0
1,1,0,0,1,5503,4490,70,360,1,1,1
1,0,0,1,0,3200,2254,126,180,0,2,0
1,1,2,0,0,3153,1560,134,360,1,2,1
0,0,0,0,0,4000,2275,144,360,1,1,1
0,0,0,1,0,1907,2365,120,360,1,2,1
1,1,0,1,0,1800,2934,93,360,0,2,0
0,0,0,0,0,4604,0,81,360,1,0,0
1,1,2,0,0,5000,0,72,360,0,1,0
1,1,0,0,0,7942,0,272,360,1,1,0
0,0,0,0,0,4969,0,112,360,0,0,0
1,0,0,0,1,6050,4333,120,180,1,2,0
1,1,0,0,0,5705,4603,256,360,1,0,0
1,1,2,0,0,5129,9719,400,360,0,0,0
0,0,0,0,0,2378,0,39,360,1,0,0
1,0,0,0,0,3014,0,82,400,0,1,0
1,1,2,1,0,3273,1820,81,360,1,2,1
1,1,0,0,0,5752,0,253,356,1,1,0
0,0,0,0,0,10000,0,214,360,1,1,0
1,1,0,0,0,4625,2857,111,12,1,2,1
1,1,1,1,0,3500,1083,135,360,1,2,1
1,1,2,0,0,3100,1400,113,360,1,2,1
1,1,0,1,0,3406,4417,123,360,1,1,1
0,0,0,0,0,2445,2263,169,360,0,2,0
1,1,3,1,0,2947,1664,70,180,0,2,0
1,1,2,0,1,6633,0,120,360,0,0,0
1,0,0,0,0,12000,0,164,360,1,1,0
0,0,0,0,0,3159,0,100,360,1,1,1
1,0,0,0,0,5815,3666,311,360,1,0,0
1,1,0,0,0,3704,2000,120,360,1,0,1
1,1,0,0,1,2479,3013,188,360,1,2,1
0,0,1,0,0,11367,0,238,360,0,1,0
1,1,0,0,1,3459,0,25,120,1,1,1
1,0,0,0,0,2746,0,76,317,0,0,0
1,0,0,0,0,4843,3806,151,360,1,1,1
1,1,0,0,0,28314,0,201,360,1,0,0
1,0,0,1,0,6068,0,161,360,0,0,0
1,1,2,1,0,2281,0,113,360,1,0,0
0,0,3,0,0,416,41667,350,180,1,2,0
1,1,1,0,0,30726,0,308,360,1,1,0
1,0,0,0,0,3807,0,70,360,1,2,0
1,1,3,1,0,4931,0,128,360,1,1,0
1,1,3,0,0,6406,0,150,360,1,1,0
0,1,1,0,0,4608,2845,140,180,1,1,1
1,1,0,0,0,3457,2298,145,360,1,0,0
1,0,0,0,0,2421,0,78,360,1,1,0
1,1,2,0,0,3200,700,70,360,1,2,1
1,1,1,0,0,4283,3000,172,84,1,0,0
1,1,0,0,0,5821,0,144,360,1,2,1
1,1,1,0,0,3750,0,116,360,1,1,1
1,1,3,0,0,4342,189,124,360,1,1,1
1,0,1,0,0,3667,0,113,180,1,2,1
1,0,0,1,0,3833,0,110,360,1,0,1
0,1,1,0,0,12000,0,496,360,1,1,1
1,1,0,0,0,4333,2451,110,360,1,2,0
0,0,0,0,0,3846,0,111,360,1,1,1
1,0,0,0,1,6950,0,175,180,1,1,1
0,0,0,0,0,2138,0,99,360,0,1,0
1,1,2,1,0,3675,242,108,360,1,1,1
1,0,0,1,0,3358,0,80,36,1,1,0
1,0,0,0,0,2833,0,71,360,1,2,1
0,0,0,0,0,5115,0,122,360,0,0,0
1,1,2,0,0,5391,0,130,360,1,2,1
1,1,0,0,0,9328,0,188,180,1,0,1
0,0,3,1,0,1830,0,120,360,0,2,0
1,1,2,0,0,3284,16257,349,360,0,1,0
1,1,0,0,1,2083,4083,160,360,1,1,1
0,0,2,0,0,4939,0,125,360,0,1,0
0,1,0,1,0,1928,1644,100,360,1,1,1
1,1,0,0,0,7933,0,275,360,1,2,0
1,1,0,0,0,1025,5500,216,360,1,0,1
1,1,0,0,0,2583,2115,120,360,1,2,1
1,1,0,0,0,1809,1868,90,360,1,2,1
1,1,2,1,0,1958,1456,60,300,1,2,1
0,0,0,0,0,5000,0,103,360,0,1,0
1,1,0,0,1,39147,4750,120,360,1,1,1
1,0,0,0,1,10600,0,154,360,0,2,0
0,0,2,0,0,2632,1627,150,341,1,0,0
0,0,0,1,1,18165,0,125,360,1,2,1
1,1,1,0,0,3902,0,79,318,1,2,0
1,1,1,0,1,2178,0,66,300,0,0,0
1,1,0,1,0,4735,0,136,360,0,1,0
1,1,0,0,0,7333,8333,175,300,1,0,1
1,1,0,1,0,2253,2033,110,360,1,0,1
1,0,1,0,0,2909,0,54,218,0,1,0
1,1,1,0,0,9538,0,187,360,1,2,1
0,0,0,0,1,10660,0,209,360,0,2,0
0,0,0,0,0,3692,0,93,360,1,0,1
1,1,0,0,0,4600,0,73,180,1,1,1
1,1,1,0,0,1625,1803,96,360,1,2,1
1,1,2,0,0,4865,5624,208,360,1,1,1
0,0,0,0,0,2719,0,80,360,0,2,0
1,1,3,0,0,23803,0,370,360,1,0,1
0,0,0,0,1,2500,0,93,360,1,2,1
1,1,0,1,0,6096,0,218,360,0,0,0
1,1,2,0,0,8333,3167,165,360,1,0,1
1,1,2,0,1,9323,7873,380,300,1,0,1
1,1,2,1,0,3601,1590,120,360,1,0,1
0,0,1,0,0,13262,0,40,360,1,2,1
1,1,1,0,0,6000,0,160,360,1,0,1
1,1,1,0,0,2491,2054,104,360,1,1,1
1,1,1,1,0,2661,7101,279,180,1,1,1
1,1,0,0,0,5923,2054,211,360,1,0,1
1,1,0,0,0,6256,0,160,360,1,2,1
1,1,2,0,1,5746,0,144,84,1,0,1
1,0,1,1,0,2679,1302,94,360,1,1,1
1,0,0,0,0,2421,0,102,436,1,0,0
1,1,1,0,0,2234,0,91,332,0,0,0
1,1,1,0,1,9272,4610,305,300,0,0,0
1,1,0,0,0,4899,0,130,360,0,0,0
1,0,2,0,0,3563,0,92,360,0,0,0
1,1,3,0,0,5703,0,128,360,1,2,1
1,1,0,0,0,4583,5625,255,360,1,1,1
1,1,1,0,0,6065,2004,250,360,1,1,1
1,1,1,0,0,4988,0,82,360,0,0,0
1,1,0,0,0,3613,2217,126,360,0,0,0
0,0,0,0,0,1811,1666,54,360,1,2,1
0,1,0,0,0,10047,0,120,240,1,1,1
1,1,0,0,0,3208,3066,172,360,1,2,1
1,1,0,0,0,14583,0,436,360,1,1,1
0,1,0,0,0,4583,0,112,360,1,0,0
1,1,0,0,0,7922,0,123,335,0,1,0
1,1,0,0,0,17278,606,443,360,1,1,0
1,1,1,0,0,5500,1260,170,360,1,0,1
1,1,0,0,0,5568,2141,175,360,1,0,0
1,0,0,1,1,5800,0,132,360,1,1,1
1,1,1,0,0,8072,240,253,360,1,2,1
1,1,0,0,0,6080,2569,182,360,1,0,0
1,1,2,0,0,3158,3992,179,298,0,0,0
1,0,0,1,0,3691,0,110,360,1,0,1
0,0,0,0,0,4243,0,116,360,0,1,0
1,0,1,0,0,3062,1987,111,180,0,2,0
0,0,0,0,0,4160,0,71,360,1,1,1
1,1,1,0,0,10750,0,312,360,1,2,1
1,1,0,1,0,4467,0,120,360,1,0,1
0,0,0,0,0,2480,1835,155,356,1,0,0
1,1,0,0,0,2698,2034,122,360,1,1,1
1,1,0,0,0,3250,0,170,360,1,0,0
1,0,0,0,0,4661,1893,182,360,1,0,0
0,0,0,0,1,10653,0,208,360,0,2,0
0,0,0,0,0,1793,1677,102,402,0,1,0
1,0,0,0,1,10801,0,118,360,0,2,0
1,1,2,0,1,16525,1014,150,360,1,0,1
0,0,0,0,0,1500,1800,103,360,0,1,0
1,1,0,0,0,3859,3300,142,180,1,0,1
1,0,0,1,0,4885,0,48,360,1,0,1
1,1,0,0,0,3173,3021,137,360,1,2,1
1,1,1,0,0,6875,0,200,360,1,1,1
1,1,3,0,0,9504,0,275,360,1,0,1
1,0,0,0,0,3145,2048,105,324,0,2,0
0,0,0,0,0,3244,0,80,360,1,2,1
0,0,0,0,1,7441,0,194,360,1,0,0
1,1,0,0,0,3497,1964,116,360,1,0,1
1,0,0,0,0,2500,0,55,360,1,1,1
1,1,1,0,0,3408,1962,113,360,0,0,0
1,1,1,0,0,2882,1843,123,480,1,1,1
1,1,0,0,0,8334,0,160,360,1,1,0
0,1,0,0,0,4333,2451,110,360,1,2,0
1,1,3,0,0,4416,1250,110,360,1,2,1
1,0,0,0,0,2234,0,62,464,0,1,0
